国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,レッドホースミノー,Cyprinella lutrensis,1,未定着,,,,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ヨーロッパナマズ,Silurus glanis,1,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ノーザンパイク,Esox lucius,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,マスキーパイク,Esox masquinongy,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,パイク科,Esocidae spp.,1,未定着,,,未判定,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ガンブシア・ホルブローキ,Gambusia holbrooki,14,未定着,,,未判定,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ケツギョ,Siniperca chuatsi,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,コウライケツギョ,Siniperca scherzeri,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ナイルパーチ,Lates niloticus,1,未定着,,,*,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ストライプトバス,Morone saxatilis,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ホワイトバス,Morone chrysops,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,ヨーロピアンパーチ,Perca fluviatilis,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,パイクパーチ,Sander lucioperca,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,スポッテッドティラピア,Tilapia mariae,14,未定着,,,,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,魚類,オリノコセイルフィンキャットフィッシュ,Pterygoplichthys multiradiatus,1,小笠原・南西諸島／未定着,,,,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,昆虫類,クワガタムシ,Lucanidae Gen spp.,1,未定着,,,,外国産
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,昆虫類,カブトムシ,Dynastinae Gen. spp.,1,未定着,,,,外国産
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,昆虫類,外国産テナガコガネ属,Cheirotonus spp.,1,小笠原・南西諸島／未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,陸生節足動物,キョクトウサソリ科,Buthidae Gen. spp.,3,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,その他の無脊椎動物,アスタクス属,Astacus spp.,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,その他の無脊椎動物,ミステリークレイフィッシュ,Procambarus fallax,4,未定着,,,,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,その他の無脊椎動物,ラスティークレイフィッシュ,Orconectes rusticus,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,その他の無脊椎動物,ケラクス属,Cherax spp.,1,未定着,,,特定外来,
国外由来の外来種,定着を予防する外来種（定着予防外来種）,その他の定着予防外来種,その他の無脊椎動物,外国産モクズガニ属,Eriocheir spp.,1,未定着,,,特定外来,
国外由来の外来種,総合的に対策が必要な外来種（総合対策外来種）,緊急対策外来種,哺乳類,タイワンザル,Macaca cyclopis,13,定着初期／限定分布,14,5,特定外来,
国外由来の外来種,総合的に対策が必要な外来種（総合対策外来種）,緊急対策外来種,哺乳類,アカゲザル,Macaca muｌatta,13,定着初期／限定分布,14,5,特定外来,
国外由来の外来種,総合的に対策が必要な外来種（総合対策外来種）,緊急対策外来種,哺乳類,ノネコ,Felis silvestris catus,12,分布拡大期～まん延期,123,5,,
国外由来の外来種,総合的に対策が必要な外来種（総合対策外来種）,緊急対策外来種,哺乳類,フイリマングース,Herpestes auropunctatus,1,定着初期／限定分布,123,5,特定外来,
国外由来の外来種,総合的に対策が必要な外来種（総合対策外来種）,緊急対策外来種,哺乳類,アライグマ,Procyon lotor,12,分布拡大期～まん延期,1234,5,特定外来,
