シロウオ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
シロヒレタビラ,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
シンジコハゼ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ジュズカケハゼ,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ジルティラピア,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
スゴモロコ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
スジシマドジョウ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
スジシマドジョウ中型種,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
スジシマドジョウ小型種,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
スジシマドジョウ小型種山陽型,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
スジシマドジョウ小型種東海型,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
スジシマドジョウ小型種点小型,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
スジシマドジョウ小型種琵琶湖型,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
スズキ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
スナヤツメ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スミウキゴリ（汽水型）,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ズナガニゴイ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
セスジボラ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ゼゼラ,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ゼニタナゴ,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ソウギョ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
タイリクバラタナゴ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
タイワンドジョウ,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
タウナギ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
タカハヤ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タナゴ,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
タネカワハゼ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
タビラ,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
タビラクチ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
タモロコ,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
チクゼンハゼ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
チチブ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
チチブモドキ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
チョウザメ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
チョウセンブナ,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
ツチフキ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ティラピア,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
テングヨウジ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デメモロコ,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
トウヨシノボリ,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
トビハゼ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
トミヨ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ドウクツミミズハゼ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ドジョウ,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
ドロクイ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ドンコ,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
ナイルティラピア（イズミダイ）,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ナガブナ,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ナガレホトケドジョウ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナマズ,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ニゴイ,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ニゴロブナ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ニシン,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ニジマス,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ニッコウイワナ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌマガレイ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌマチチブ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
